proxyList,isCreated
209.127.191.180:9279,True
168.80.99.79:3128,True
168.80.99.52:3128,True
168.80.176.211:3128,True
168.80.99.229:3128,True
168.80.176.235:3128,True
168.80.99.103:3128,True
168.80.176.115:3128,True
168.80.176.76:3128,True
168.80.176.34:3128,True
168.80.176.97:3128,True
168.80.99.250:3128,True
168.80.99.247:3128,True
168.80.176.94:3128,True
168.80.176.136:3128,True
168.80.99.199:3128,True
168.80.176.217:3128,True
168.80.99.133:3128,True
168.80.176.202:3128,True
168.80.99.232:3128,True
168.80.99.142:3128,
168.80.176.28:3128,True
168.80.99.190:3128,True
168.80.99.106:3128,True
168.80.99.100:3128,True
168.80.176.151:3128,True
168.80.99.70:3128,True
168.80.176.241:3128,True
168.80.176.187:3128,True
168.80.176.208:3128,True
168.80.176.130:3128,True
168.80.99.145:3128,True
168.80.176.172:3128,True
168.80.99.58:3128,True
168.80.99.202:3128,True
168.80.99.94:3128,True
168.80.99.187:3128,True
168.80.99.151:3128,True
168.80.99.85:3128,True
168.80.99.172:3128,True
168.80.176.142:3128,True
168.80.99.82:3128,True
168.80.176.154:3128,True
168.80.99.7:3128,
168.80.99.220:3128,True
168.80.176.190:3128,True
168.80.99.19:3128,True
168.80.99.193:3128,True
168.80.99.196:3128,True
168.80.176.67:3128,True
168.80.176.226:3128,True
168.80.176.52:3128,True
168.80.176.49:3128,True
168.80.176.46:3128,
168.80.99.118:3128,True
168.80.176.58:3128,True
168.80.176.169:3128,True
168.80.99.115:3128,
168.80.176.106:3128,True
168.80.176.181:3128,True
168.80.99.37:3128,True
168.80.176.103:3128,True
168.80.176.139:3128,True
168.80.99.67:3128,True
168.80.176.121:3128,True
168.80.176.4:3128,True
168.80.176.223:3128,True
168.80.99.223:3128,True
168.80.176.88:3128,True
168.80.176.13:3128,True
168.80.99.166:3128,True
168.80.176.55:3128,True
168.80.99.178:3128,True
168.80.176.22:3128,True
168.80.99.55:3128,True
168.80.99.97:3128,True
168.80.99.25:3128,True
168.80.99.241:3128,True
168.80.99.169:3128,True
168.80.176.31:3128,True
168.80.99.226:3128,True
168.80.176.37:3128,True
168.80.99.157:3128,True
168.80.99.109:3128,True
168.80.99.238:3128,True
168.80.99.1:3128,True
168.80.99.205:3128,True
168.80.176.184:3128,True
168.80.99.61:3128,True
168.80.176.61:3128,True
168.80.176.40:3128,True
168.80.99.64:3128,True
168.80.99.211:3128,True
168.80.99.148:3128,True
168.80.99.139:3128,True
168.80.99.160:3128,
168.80.176.238:3128,True
168.80.99.28:3128,True
168.80.176.160:3128,True
168.80.176.148:3128,True
168.80.176.199:3128,True
168.80.99.46:3128,True
168.80.99.214:3128,True
168.80.176.112:3128,True
168.80.176.70:3128,True
168.80.176.220:3128,True
168.80.176.244:3128,True
168.80.176.73:3128,True
168.80.99.4:3128,True
168.80.176.1:3128,True
168.80.99.40:3128,True
168.80.176.124:3128,
168.80.99.22:3128,True
168.80.99.175:3128,True
168.80.99.76:3128,True
168.80.99.253:3128,True
168.80.176.229:3128,True
168.80.176.166:3128,True
168.80.99.43:3128,True
168.80.176.79:3128,True
168.80.176.64:3128,True
168.80.176.196:3128,True
168.80.176.214:3128,
168.80.176.205:3128,True
168.80.176.133:3128,True
168.80.99.88:3128,True
168.80.99.181:3128,True
168.80.99.124:3128,True
168.80.176.43:3128,True
168.80.176.118:3128,True
168.80.99.235:3128,True
168.80.99.208:3128,True
168.80.99.91:3128,True
168.80.99.184:3128,True
168.80.176.10:3128,True
168.80.176.247:3128,True
168.80.99.34:3128,True
168.80.176.157:3128,True
168.80.99.217:3128,True
168.80.176.85:3128,True
168.80.176.232:3128,True
168.80.176.250:3128,True
168.80.99.31:3128,
168.80.99.49:3128,True
168.80.99.136:3128,
168.80.176.127:3128,True
168.80.176.7:3128,True
168.80.99.112:3128,True
168.80.176.163:3128,True
168.80.99.13:3128,True
168.80.99.121:3128,True
168.80.176.100:3128,True
168.80.99.130:3128,True
168.80.99.10:3128,True
168.80.176.19:3128,True
168.80.99.244:3128,True
168.80.176.109:3128,True
168.80.176.25:3128,True
168.80.176.178:3128,True
168.80.176.16:3128,True
168.80.176.253:3128,True
168.80.99.127:3128,True
168.80.99.73:3128,True
168.80.99.154:3128,True
168.80.176.91:3128,True
168.80.99.163:3128,
168.80.176.175:3128,True
168.80.176.145:3128,True
168.80.99.16:3128,True
168.80.176.82:3128,True
168.80.176.193:3128,True
